filepath,testclass,testname,assertion_type,line_number,assert_string
allennlp/tests/modules/seq2vec_encoders/bert_pooler_test.py,TestBertPooler,test_encoder,assert_array_almost_equal,19,"numpy.testing.assert_array_almost_equal(pooled1.detach().numpy(), pooled2.detach().numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,46,"numpy.testing.assert_array_almost_equal(spans[0].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,49,"numpy.testing.assert_array_almost_equal(spans[1].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,55,"numpy.testing.assert_array_almost_equal(spans[0].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,58,"numpy.testing.assert_array_almost_equal(spans[1].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,69,"numpy.testing.assert_array_almost_equal(spans[0].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,72,"numpy.testing.assert_array_almost_equal(spans[1].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,78,"numpy.testing.assert_array_almost_equal(spans[0].data.numpy(), mean_embeddings.data.numpy())"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_attention_is_normalised_correctly,assert_array_almost_equal,80,"numpy.testing.assert_array_almost_equal(spans[1].data.numpy(), numpy.zeros([input_dim]))"
allennlp/tests/modules/span_extractors/self_attentive_span_extractor_test.py,TestSelfAttentiveSpanExtractor,test_widths_are_embedded_correctly,assert_array_almost_equal,108,"numpy.testing.assert_array_almost_equal(width_embedding.data.numpy(), width_embeddings[width])"
allennlp/tests/modules/token_embedders/embedding_test.py,TestEmbedding,test_embedding_layer_actually_initializes_word_vectors_correctly,assert_allclose,74,"assert numpy.allclose(word_vector.numpy(), numpy.array([1.0, 2.3, -1.0]))"
allennlp/tests/modules/token_embedders/embedding_test.py,TestEmbedding,test_embedding_layer_actually_initializes_word_vectors_correctly,assert_allclose,76,"assert numpy.allclose(word_vector.numpy(), numpy.array([3.4, 3.3, 5.0]))"
allennlp/tests/modules/token_embedders/embedding_test.py,TestEmbedding,test_read_hdf5_format_file,assert_allclose,103,"assert numpy.allclose(embedding_layer.weight.data.numpy(), embeddings)"
allennlp/tests/modules/token_embedders/embedding_test.py,TestEmbedding,test_embedding_constructed_directly_with_pretrained_file,assert_allclose,372,"assert numpy.allclose(word_vector.numpy(), numpy.array([1.0, 2.3, -1.0]))"
allennlp/tests/modules/token_embedders/embedding_test.py,TestEmbedding,test_embedding_constructed_directly_with_pretrained_file,assert_allclose,374,"assert numpy.allclose(word_vector.numpy(), numpy.array([3.4, 3.3, 5.0]))"
allennlp/tests/data/dataset_test.py,TestDataset,test_as_tensor_dict,assert_array_almost_equal,44,"numpy.testing.assert_array_almost_equal(text1, numpy.array([[2, 3, 4, 5, 6], [1, 3, 4, 5, 6]]))"
allennlp/tests/data/dataset_test.py,TestDataset,test_as_tensor_dict,assert_array_almost_equal,47,"numpy.testing.assert_array_almost_equal(text2, numpy.array([[2, 3, 4, 1, 5, 6], [2, 3, 1, 0, 0, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_all_fields_padded_to_max_length,assert_array_almost_equal,124,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][0].detach().cpu().numpy(), numpy.array([2, 3, 4, 5, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_all_fields_padded_to_max_length,assert_array_almost_equal,127,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][1].detach().cpu().numpy(), numpy.array([2, 3, 4, 1, 5]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_all_fields_padded_to_max_length,assert_array_almost_equal,130,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][2].detach().cpu().numpy(), numpy.array([2, 3, 1, 5, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_fields_can_pad_to_greater_than_max_length,assert_array_almost_equal,153,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][0].detach().cpu().numpy(), numpy.array([2, 3, 4, 5, 0, 0, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_fields_can_pad_to_greater_than_max_length,assert_array_almost_equal,157,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][1].detach().cpu().numpy(), numpy.array([2, 3, 4, 1, 5, 0, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_fields_can_pad_to_greater_than_max_length,assert_array_almost_equal,161,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][2].detach().cpu().numpy(), numpy.array([2, 3, 1, 5, 0, 0, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_fields_can_pad_to_greater_than_max_length,assert_array_almost_equal,165,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][3].detach().cpu().numpy(), numpy.array([0, 0, 0, 0, 0, 0, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_fields_can_pad_to_greater_than_max_length,assert_array_almost_equal,169,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'][4].detach().cpu().numpy(), numpy.array([0, 0, 0, 0, 0, 0, 0]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers,assert_array_almost_equal,186,"numpy.testing.assert_array_almost_equal(words, numpy.array([[2, 3, 4, 5, 0], [2, 3, 4, 1, 5], [2, 3, 1, 5, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers,assert_array_almost_equal,190,"numpy.testing.assert_array_almost_equal(characters[0], numpy.array([[5, 1, 1, 2, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 3, 4, 5, 3, 4, 6, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers,assert_array_almost_equal,203,"numpy.testing.assert_array_almost_equal(characters[1], numpy.array([[5, 1, 1, 2, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 3, 1, 3, 4, 5], [2, 3, 4, 5, 3, 4, 6, 3, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers,assert_array_almost_equal,216,"numpy.testing.assert_array_almost_equal(characters[2], numpy.array([[5, 1, 1, 2, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0], [1, 4, 1, 5, 1, 3, 1, 0, 0], [2, 3, 4, 5, 3, 4, 6, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers_and_empty_fields,assert_array_almost_equal,242,"numpy.testing.assert_array_almost_equal(words, numpy.array([[0, 0, 0, 0, 0], [2, 3, 4, 5, 0], [2, 3, 4, 1, 5]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers_and_empty_fields,assert_array_almost_equal,246,"numpy.testing.assert_array_almost_equal(characters[0], numpy.zeros([5, 9]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers_and_empty_fields,assert_array_almost_equal,248,"numpy.testing.assert_array_almost_equal(characters[1], numpy.array([[5, 1, 1, 2, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 3, 4, 5, 3, 4, 6, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]))"
allennlp/tests/data/fields/list_field_test.py,TestListField,test_as_tensor_can_handle_multiple_token_indexers_and_empty_fields,assert_array_almost_equal,261,"numpy.testing.assert_array_almost_equal(characters[2], numpy.array([[5, 1, 1, 2, 0, 0, 0, 0, 0], [1, 2, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 3, 1, 3, 4, 5], [2, 3, 4, 5, 3, 4, 6, 3, 0]]))"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_words,assert_array_almost_equal,206,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'].detach().cpu().numpy(), numpy.array([1, 1, 1, 2, 1]))"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_longer_lengths,assert_array_almost_equal,219,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'].detach().cpu().numpy(), numpy.array([1, 1, 1, 2, 1, 0, 0, 0, 0, 0]))"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_characters,assert_array_almost_equal,243,"numpy.testing.assert_array_almost_equal(tensor_dict['characters']['token_characters'].detach().cpu().numpy(), expected_character_array)"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_characters_if_empty_field,assert_array_almost_equal,259,"numpy.testing.assert_array_almost_equal(tensor_dict['characters']['token_characters'].detach().cpu().numpy(), expected_character_array)"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_words_and_characters_with_longer_lengths,assert_array_almost_equal,279,"numpy.testing.assert_array_almost_equal(tensor_dict['words']['tokens'].detach().cpu().numpy(), numpy.array([1, 2, 1, 0, 0]))"
allennlp/tests/data/fields/text_field_test.py,TestTextField,test_as_tensor_handles_words_and_characters_with_longer_lengths,assert_array_almost_equal,282,"numpy.testing.assert_array_almost_equal(tensor_dict['characters']['token_characters'].detach().cpu().numpy(), numpy.array([[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 4, 5, 6, 4, 5, 7, 4, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]))"
allennlp/tests/data/fields/multilabel_field_test.py,TestMultiLabelField,test_multilabel_field_can_index_with_vocab,assert_array_almost_equal,28,"numpy.testing.assert_array_almost_equal(tensor, numpy.array([1, 1, 0]))"
allennlp/tests/data/fields/multilabel_field_test.py,TestMultiLabelField,test_multilabel_field_empty_field_works,assert_array_almost_equal,58,"numpy.testing.assert_array_almost_equal(tensor, numpy.array([0, 0]))"
allennlp/tests/data/fields/multilabel_field_test.py,TestMultiLabelField,test_multilabel_field_empty_field_works,assert_array_almost_equal,62,"numpy.testing.assert_array_almost_equal(tensor, numpy.array([0, 0]))"
allennlp/tests/data/fields/multilabel_field_test.py,TestMultiLabelField,test_multilabel_field_empty_field_works,assert_array_almost_equal,68,"numpy.testing.assert_array_almost_equal(tensor, numpy.array([0, 0, 0]))"
allennlp/tests/data/fields/sequence_label_field_test.py,TestSequenceLabelField,test_as_tensor_produces_integer_targets,assert_array_almost_equal,62,"numpy.testing.assert_array_almost_equal(tensor, numpy.array([0, 1, 2, 2, 2]))"
